(1a5,385) (2ed,385)
(2d59,495b) (1409,495b)
(ffb,1165) (713,1165)
(9b9,f8b) (419,f8b)
(473,797) (233,797)
(1547,195d) (1697,195d)
(2c69,4da7) (3359,4da7)
(6e69,9089) (5675,9089)
(679,1f37) (c1,1f37)
(5831,982d) (5435,982d)
(1235,2081) (46d,2081)
(1087,1cd3) (16ff,1cd3)
(2543,27a3) (234b,27a3)
(5f5,a01) (3fd,a01)
(12d,9fd1) (56b9,9fd1)
(4d9b,9967) (3b3,9967)
(68d1,9389) (6529,9389)
(7ac3,b3cf) (58eb,b3cf)
(139,3aaf) (2479,3aaf)
(43f,5a59) (4bdf,5a59)
(c0b,4427) (2a83,4427)
(61d,9e9) (779,9e9)
(247,1d45) (1003,1d45)
(113,2db) (15b,2db)
(3d9,69b) (5b9,69b)
(8297,867b) (146f,867b)
(17d5,22cd) (d49,22cd)
(696f,de91) (b41f,de91)
(c77,452f) (857,452f)
(1951,71d7) (5731,71d7)
(fb3,b075) (6f8f,b075)
(973,b17) (91b,b17)
(179,a2b) (7a9,a2b)
(507,598f) (2597,598f)
(1f03,2eff) (2c4b,2eff)
(1ba5,5101) (2ead,5101)
(2455,304f) (13d5,304f)
(1f2d,4999) (385d,4999)
(53bd,aadb) (7a8d,aadb)
(3079,338f) (2a49,338f)
(70cd,7acf) (13e5,7acf)
(2365,2551) (22ed,2551)
(13cf,b3cf) (ad8f,b3cf)
(49bd,9bed) (7e3d,9bed)
(8bf,1d0f) (1297,1d0f)
(1051,1ded) (901,1ded)
(2777,6a61) (647,6a61)
(987,1dad) (15f3,1dad)
(26b,835) (68f,835)
(707,e05) (d37,e05)
(1955,2b0d) (1709,2b0d)
(b69,21ad) (239,21ad)
(227f,7cb1) (693f,7cb1)
(b51,1493) (ac1,1493)
(6e5,1def) (72d,1def)
(923,56f5) (17cb,56f5)
(6ffb,a2eb) (5963,a2eb)
(6f17,daa5) (387b,daa5)
(2ab,bb1) (a43,bb1)
(ef,2c9) (167,2c9)
